letter,count_all,count_uppercase,percentage %
s,77,5,8.7
e,118,4,13.3
n,85,12,9.6
w,24,1,2.7
d,37,7,4.2
g,2,2,0.2
t,106,10,11.9
o,54,0,6.1
p,17,15,1.9
r,43,1,4.8
i,49,0,5.5
a,73,16,8.2
v,29,0,3.3
m,33,7,3.7
f,28,2,3.2
l,40,3,4.5
c,17,0,1.9
y,12,0,1.4
u,24,0,2.7
h,1,0,0.1
j,4,0,0.5
k,6,0,0.7
x,2,0,0.2
b,7,7,0.8
