letter,count_all,count_uppercase,percentage %
w,8,1,3.5
e,30,1,13.3
s,17,2,7.5
n,22,3,9.7
t,23,2,10.2
g,1,1,0.4
o,16,0,7.1
d,9,0,4.0
i,12,0,5.3
r,14,0,6.2
p,4,3,1.8
a,20,4,8.8
v,4,0,1.8
l,12,1,5.3
f,8,1,3.5
m,7,1,3.1
y,4,0,1.8
c,7,0,3.1
u,7,0,3.1
h,1,0,0.4
